Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
calibration model: 14056*mpx^-0.952,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
500,497,-0.6,446.08,-10.7848,489.21,-2.1588
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,446.08,-10.7848,489.21,-2.1588
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,496,-0.8,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,498,-0.4,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,446.08,-10.7848,489.21,-2.1588
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,498,-0.4,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,440.71,-11.8588,483.6,-3.2804
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,446.08,-10.7848,489.21,-2.1588
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
500,497,-0.6,450.75,-9.8501,494.08,-1.1832
