Beginning Pixel Size Calibration Test...
-----------------------------------------
Marker Size: 44.5mm
True Dist [mm], Pixel Size [px]
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.82
1300.00, 12.56
1300.00, 12.82
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.56
1300.00, 12.82
1300.00, 12.56
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.56
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.56
1300.00, 12.82
1300.00, 12.56
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.56
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 11.76
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1300.00, 12.82
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.02
1400.00, 11.02
1400.00, 11.02
1400.00, 11.02
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 10.76
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.00
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.26
1400.00, 11.00
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.00
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.00
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.26
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.52
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.00
1400.00, 11.26
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.26
1400.00, 11.02
1400.00, 11.02
1400.00, 11.26
1400.00, 11.26
1400.00, 11.52
1400.00, 11.28
1400.00, 11.02
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
1500.00, 10.52
