Beginning Pixel Size Calibration Test...
-----------------------------------------
aruco_approx_dist.py, test_case=4
Marker Size: 45mm
-----------------------------------------
True Dist [mm], Pixel Size [px]
-----------------------------------------
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1200.00, 13.14
1300.00, 12.77
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 13.11
1300.00, 12.04
1300.00, 12.77
1300.00, 13.11
1300.00, 12.77
1300.00, 12.77
1300.00, 13.11
1300.00, 12.40
1300.00, 12.77
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.77
1300.00, 12.40
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 12.77
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.77
1300.00, 12.04
1300.00, 12.77
1300.00, 12.04
1300.00, 12.40
1300.00, 12.77
1300.00, 12.77
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 12.77
1300.00, 12.40
1300.00, 12.04
1300.00, 13.11
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.04
1300.00, 12.77
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 12.40
1300.00, 12.77
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.04
1300.00, 12.40
1300.00, 12.76
1300.00, 12.40
1300.00, 12.40
1300.00, 12.40
1300.00, 12.40
1300.00, 12.40
1300.00, 12.40
1300.00, 12.40
1300.00, 12.40
1300.00, 12.40
1300.00, 12.40
1300.00, 12.76
1300.00, 12.40
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.06
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.73
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.73
1400.00, 11.73
1400.00, 11.39
1400.00, 11.39
1400.00, 11.73
1400.00, 11.73
1400.00, 11.39
1400.00, 11.73
1400.00, 11.73
1400.00, 11.73
1400.00, 11.73
1400.00, 11.39
1400.00, 11.39
1400.00, 11.73
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1400.00, 11.73
1400.00, 11.73
1400.00, 11.73
1400.00, 11.39
1400.00, 11.39
1400.00, 11.73
1400.00, 11.73
1400.00, 11.39
1400.00, 11.39
1400.00, 11.39
1500.00, 10.67
1500.00, 10.67
1500.00, 10.67
1500.00, 10.67
1500.00, 10.32
1500.00, 10.32
1500.00, 10.00
1500.00, 10.00
1500.00, 10.00
1500.00, 10.00
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.00
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.00
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.00
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.36
1500.00, 10.00
1500.00, 10.36
1500.00, 10.36
1500.00, 10.00
1500.00, 10.36
1500.00, 10.36
1500.00, 10.00
1500.00, 10.36
