D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py,,,,,,
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
5,30,10.81,943.22,1.30454,74.745,2.161
5,30,11.18,911.56,1.39094,79.695,2.236
5,30,10.85,936.8,1.14417,65.556,2.17
5,30,10.82,939.6,0.98279,56.31,2.163
5,30,10.99,925.15,0.98279,56.31,2.198
5,30,11.4,891.38,0.90975,52.125,2.28
5,30,11.7,866.72,0.72664,41.634,2.34
5,30,10.76,942.35,0.66104,37.875,2.152
5,30,10.65,953.38,0.5071,29.055,2.129
5,30,10.77,942.06,0.38051,21.801,2.154
5,30,10.92,929.03,0.38051,21.801,2.184
5,30,10.76,942.69,0.29146,16.699,2.153
5,30,10.44,972.05,0.29146,16.699,2.088
5,30,11.11,913.98,0.17985,10.305,2.221
5,30,11.4,890.28,0.26625,15.255,2.28
5,30,11,920.07,0,0,2.2
5,30,11,920.07,0,0,2.2
5,30,11,920.06,0,0,2.2
5,30,10.2,994.34,0.1974,11.31,2.04
5,30,10.8,939.29,0.26625,15.255,2.16
5,30,10.44,972.26,0.29146,16.699,2.088
5,30,10.64,956.08,0.38051,21.801,2.128
5,30,10.64,956.37,0.38051,21.801,2.128
5,30,10.41,977.89,0.5071,29.055,2.081
5,30,10.41,977.89,0.5071,29.055,2.081
5,30,10.14,1003.79,0.5071,29.055,2.027
5,30,10.41,978.84,0.6435,36.87,2.082
5,30,10.3,988.9,1.0637,60.945,2.059
5,30,10.74,947.87,1.10715,63.435,2.148
5,30,10.86,936.66,1.10715,63.435,2.171
5,30,10.31,986.36,1.15257,66.038,2.062
5,30,10.46,972.14,1.15257,66.038,2.091
5,30,9.99,1017.48,1.15257,66.038,1.998
5,30,10.14,1002.37,1.27934,73.301,2.027
5,30,10.44,972.96,1.27934,73.301,2.088
5,30,10.28,987.46,1.27934,73.301,2.057
5,30,10.2,995.83,1.3734,78.69,2.04
5,30,10.2,996.08,1.3734,78.69,2.04
5,30,10.12,1003.62,1.3734,78.69,2.025
5,30,10.55,963.31,1.48014,84.806,2.11
5,30,10.55,963.57,1.47113,84.289,2.11
5,30,10.62,957.41,1.47113,84.289,2.124
5,30,10.05,1012.45,1.47113,84.289,2.01
5,30,11.05,921.49,1.48014,84.806,2.209
5,30,10.62,958.54,1.48014,84.806,2.124
5,30,10.9,933.4,1.3734,78.69,2.18
5,30,10.2,997.74,1.3734,78.69,2.04
5,30,10.44,976.87,1.27934,73.301,2.088
5,30,10.52,970.99,1.10715,63.435,2.105
5,30,10.53,970.14,1.0637,60.945,2.107
5,30,10.64,959.77,1.19029,68.199,2.128
5,30,10.41,981.28,1.10715,63.435,2.081
5,30,10.56,966.51,0.98279,56.31,2.111
5,30,10.14,1005.78,1.0637,60.945,2.027
5,30,10.63,958.75,0.85197,48.814,2.126
5,30,10.06,1013.17,0.6435,36.87,2.013
5,30,10.86,938.11,0.38051,21.801,2.171
5,30,10.28,987.96,0.38051,21.801,2.057
5,30,10.44,973.21,0.29146,16.699,2.088
5,30,10.44,974.3,0.29146,16.699,2.088
5,30,10.16,1000.76,0.38051,21.801,2.033
5,30,9.84,1034.14,0.21867,12.529,1.967
5,30,10.05,1008.82,0.09967,5.711,2.01
5,30,10.34,980.74,0.09967,5.711,2.067
5,30,10,1012.11,0,0,2
5,30,9.29,1089.41,-0.11066,-6.34,1.858
5,30,10,1012.43,0,0,2
5,30,10.26,986.71,0,0,2.052
5,30,10.26,986.34,0,0,2.052
5,30,10.02,1009.91,0.09967,5.711,2.005
5,30,10,1012.52,0,0,2
5,30,10.26,986.54,0,0,2.052
5,30,10,1012.43,0,0,2
5,30,10,1012.43,0,0,2
5,30,10.26,986.54,0.09967,5.711,2.052
5,30,9.5,1065.64,0,0,1.9
5,30,10.29,984.18,0.09967,5.711,2.057
5,30,9.76,1036.86,0,0,1.952
5,30,9.76,1038.01,0,0,1.952
5,30,10.08,1008.54,0.5071,29.055,2.017
5,30,10.2,993.99,0.1974,11.31,2.04
5,30,10.06,1014.29,0.6435,36.87,2.013
5,30,10,1021.44,0.6435,36.87,2
5,30,10.06,1015.08,0.6435,36.87,2.013
5,30,10.06,1015.08,0.6435,36.87,2.013
5,30,10.21,993.93,0.5071,29.055,2.042
5,30,10.48,968.16,0.6435,36.87,2.096
5,30,9.79,1036.52,0.5586,32.005,1.958
5,30,9.63,1051.92,0.41822,23.963,1.926
5,30,9.97,1016.71,0.5071,29.055,1.994
5,30,9.97,1016.71,0.5071,29.055,1.994
5,30,9.53,1064.01,0.5586,32.005,1.905
5,30,9.88,1025.58,0.6435,36.87,1.977
5,30,9.63,1052.38,0.41822,23.963,1.926
5,30,9.63,1052.38,0.46365,26.565,1.926
5,30,9.73,1041,0.41822,23.963,1.947
5,30,9.63,1052.38,0.46365,26.565,1.926
5,30,9.73,1041.16,0.46365,26.565,1.947
5,30,9.63,1052.38,0.5071,29.055,1.926
5,30,9.73,1041.89,0.41822,23.963,1.947
5,30,9.62,1055.67,0.46365,26.565,1.924
5,30,9.97,1019.27,0.5071,29.055,1.994
5,30,10.3,986.89,0.5071,29.055,2.059
5,30,10.3,986.89,0.5071,29.055,2.059
5,30,9.99,1016.95,0.32175,18.435,1.998
5,30,10.28,987.46,0.29146,16.699,2.057
5,30,10.14,1001.15,0.29146,16.699,2.028
5,30,10.01,1013.89,0.29146,16.699,2.003
5,30,10.44,972.26,0.29146,16.699,2.088
5,30,9.53,1064.79,0.21867,12.529,1.906
5,30,9.66,1050.74,0.32175,18.435,1.932
5,30,9.53,1064.34,0.21867,12.529,1.906
5,30,10.2,992.85,0.1974,11.31,2.04
5,30,9.53,1061.95,0.21867,12.529,1.906
5,30,10.32,980.84,0.29146,16.699,2.064
5,30,9.63,1050.9,0.09967,5.711,1.926
5,30,9.63,1050.9,0.09967,5.711,1.926
5,30,9.71,1042.45,0.1974,11.31,1.942
5,30,9.92,1020.62,0.1974,11.31,1.983
5,30,9.92,1020.62,0.1974,11.31,1.983
5,30,9.92,1020.62,0.1974,11.31,1.983
5,30,9.92,1020.65,0.09967,5.711,1.983
5,30,10.12,999.67,0.09066,5.194,2.025
5,30,9.92,1020.72,0.1974,11.31,1.983
5,30,9.53,1062.04,0.1974,11.31,1.906
5,30,9.71,1042.65,0.1974,11.31,1.942
5,30,9.71,1042.65,0.1974,11.31,1.942
5,30,9.53,1062.04,0.21867,12.529,1.906
5,30,9.71,1042.5,0.1974,11.31,1.942
5,30,9.53,1061.95,0.1974,11.31,1.906
5,30,10.61,954.51,0.38051,21.801,2.121
5,30,9.53,1062.25,0.32175,18.435,1.906
5,30,9.99,1013.66,0.32175,18.435,1.998
5,30,9.99,1013.66,0.32175,18.435,1.998
5,30,9.99,1013.57,0.32175,18.435,1.998
5,30,9.49,1067.12,0.32175,18.435,1.897
5,30,9.85,1027.67,0.41822,23.963,1.97
5,30,10.31,981.7,0.41822,23.963,2.062
5,30,9.75,1038.13,0.46365,26.565,1.95
5,30,9.53,1062.4,0.46365,26.565,1.905
5,30,9.72,1041.62,0.5586,32.005,1.943
5,30,10.41,972.41,0.6435,36.87,2.082
