= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
24-09-24
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [deg], Alpha [px/bit]
      5,      38.5,     32.66,    397.89,       12.34,          6.531
      5,      38.5,     32.36,    401.49,       12.34,          6.472
      5,      38.5,     32.68,    397.58,        8.88,          6.536
      5,      38.5,     32.18,    403.68,       10.62,          6.437
      5,      38.5,     32.61,    398.48,       10.31,          6.521
      5,      38.5,     32.32,    402.02,        7.13,          6.464
      5,      38.5,     32.64,    398.09,        5.19,          6.528
      5,      38.5,     32.64,    398.09,        5.19,          6.528
      5,      38.5,     32.37,    401.39,        5.19,          6.474
      5,      38.5,     32.60,    398.56,        3.47,          6.520
      5,      38.5,     32.37,    401.42,        5.36,          6.474
      5,      38.5,     32.06,    405.35,        3.58,          6.412
      5,      38.5,     32.78,    396.56,        1.74,          6.555
      5,      38.5,     33.02,    393.74,        1.74,          6.603
      5,      38.5,     32.52,    399.84,        1.74,          6.503
      5,      38.5,     32.52,    399.80,        3.58,          6.505
      5,      38.5,     32.50,    400.21,        0.00,          6.500
      5,      38.5,     32.51,    400.18,        1.74,          6.502
      5,      38.5,     32.00,    406.53,        0.00,          6.400
      5,      38.5,     32.25,    403.39,       -1.79,          6.451
      5,      38.5,     32.51,    400.32,       -1.74,          6.502
      5,      38.5,     32.01,    406.57,       -1.79,          6.402
      5,      38.5,     32.25,    403.54,        0.00,          6.451
      5,      38.5,     31.50,    413.28,        0.00,          6.300
      5,      38.5,     31.50,    413.28,        0.00,          6.300
      5,      38.5,     31.51,    413.18,        0.00,          6.302
      5,      38.5,     32.01,    406.73,        0.00,          6.402
      5,      38.5,     31.51,    413.10,        0.00,          6.302
      5,      38.5,     29.54,    440.41,       -1.91,          5.909
      5,      38.5,     31.26,    416.19,        0.00,          6.252
      5,      38.5,     31.00,    419.79,        0.00,          6.200
      5,      38.5,     30.75,    423.22,        0.00,          6.151
      5,      38.5,     31.00,    419.87,        0.00,          6.200
      5,      38.5,     30.75,    423.31,       -1.85,          6.151
      5,      38.5,     31.01,    419.84,        0.00,          6.202
      5,      38.5,     31.00,    420.03,        0.00,          6.200
      5,      38.5,     30.26,    430.36,        1.91,          6.052
      5,      38.5,     30.26,    430.36,        1.91,          6.052
      5,      38.5,     30.26,    430.27,        0.00,          6.053
      5,      38.5,     30.01,    433.74,        1.91,          6.002
      5,      38.5,     30.04,    433.18,        3.81,          6.008
      5,      38.5,     30.34,    428.81,        3.69,          6.067
      5,      38.5,     29.61,    439.27,        3.81,          5.922
      5,      38.5,     30.38,    428.04,        5.53,          6.076
      5,      38.5,     30.27,    429.57,        7.59,          6.053
      5,      38.5,     30.34,    428.52,        7.35,          6.068
      5,      38.5,     30.62,    424.55,        9.16,          6.125
      5,      38.5,     30.83,    421.64,        9.16,          6.167
      5,      38.5,     30.63,    424.44,       10.95,          6.126
      5,      38.5,     30.62,    424.55,        9.16,          6.125
      5,      38.5,     30.50,    426.21,       11.31,          6.101
      5,      38.5,     30.10,    431.82,       11.31,          6.021
      5,      38.5,     29.91,    434.56,       13.57,          5.983
      5,      38.5,     30.51,    426.03,       13.13,          6.102
      5,      38.5,     30.40,    427.49,       13.13,          6.080
      5,      38.5,     30.62,    424.36,       13.57,          6.125
      5,      38.5,     30.14,    431.18,       13.13,          6.028
      5,      38.5,     30.26,    429.38,       15.42,          6.052
      5,      38.5,     30.39,    427.51,       14.93,          6.079
      5,      38.5,     30.39,    427.47,       17.24,          6.079
      5,      38.5,     30.36,    427.87,       17.24,          6.073
      5,      38.5,     29.91,    434.30,       15.95,          5.983
      5,      38.5,     30.20,    430.09,       17.82,          6.041
      5,      38.5,     30.36,    427.83,       19.03,          6.072
      5,      38.5,     30.20,    430.05,       19.65,          6.041
      5,      38.5,     29.73,    436.86,       19.65,          5.946
      5,      38.5,     30.60,    424.49,       22.48,          6.120
      5,      38.5,     30.08,    431.75,       21.45,          6.017
      5,      38.5,     30.28,    428.92,       20.77,          6.056
      5,      38.5,     30.34,    428.15,       24.91,          6.067
      5,      38.5,     29.88,    434.68,       23.96,          5.976
      5,      38.5,     29.97,    433.47,       25.71,          5.993
      5,      38.5,     30.32,    428.45,       29.98,          6.064
      5,      38.5,     30.11,    431.37,       29.98,          6.022
      5,      38.5,     29.44,    441.19,       29.06,          5.888
      5,      38.5,     30.19,    430.25,       31.61,          6.038
      5,      38.5,     30.38,    427.53,       34.22,          6.076
      5,      38.5,     29.55,    439.61,       35.31,          5.909
      5,      38.5,     29.48,    440.56,       36.87,          5.897
      5,      38.5,     29.36,    442.35,       38.05,          5.873
      5,      38.5,     29.21,    444.60,       39.56,          5.843
      5,      38.5,     30.20,    430.12,       39.81,          6.039
      5,      38.5,     29.40,    441.71,       42.27,          5.881
      5,      38.5,     29.40,    441.73,       39.56,          5.881
      5,      38.5,     29.71,    437.18,       42.27,          5.942
      5,      38.5,     29.37,    442.23,       45.00,          5.875
      5,      38.5,     30.43,    426.95,       46.33,          6.085
      5,      38.5,     30.09,    431.70,       48.99,          6.018
      5,      38.5,     29.21,    444.74,       51.95,          5.841
      5,      38.5,     30.22,    429.78,       51.63,          6.044
      5,      38.5,     29.95,    433.62,       53.13,          5.991
      5,      38.5,     29.76,    436.40,       54.69,          5.953
      5,      38.5,     29.54,    439.68,       55.79,          5.908
      5,      38.5,     28.82,    450.78,       59.04,          5.763
      5,      38.5,     28.47,    456.31,       59.75,          5.694
      5,      38.5,     29.53,    439.92,       60.95,          5.907
      5,      38.5,     29.64,    438.42,       61.70,          5.927
      5,      38.5,     29.64,    438.43,       64.29,          5.927
      5,      38.5,     29.22,    444.72,       66.04,          5.844
      5,      38.5,     28.69,    452.86,       67.07,          5.739
      5,      38.5,     28.80,    451.17,       68.55,          5.760
      5,      38.5,     29.57,    439.34,       70.35,          5.914
      5,      38.5,     29.59,    439.08,       72.18,          5.917
      5,      38.5,     28.79,    451.26,       72.18,          5.757
      5,      38.5,     28.16,    461.24,       73.50,          5.632
      5,      38.5,     28.51,    455.59,       75.47,          5.702
      5,      38.5,     29.47,    440.66,       76.43,          5.895
      5,      38.5,     29.17,    445.27,       75.97,          5.834
      5,      38.5,     28.82,    450.74,       73.50,          5.763
      5,      38.5,     29.10,    446.33,       74.06,          5.820
      5,      38.5,     28.63,    453.71,       71.57,          5.725
      5,      38.5,     29.30,    443.29,       70.35,          5.860
      5,      38.5,     28.83,    450.48,       67.84,          5.767
      5,      38.5,     28.64,    453.60,       65.23,          5.727
      5,      38.5,     29.07,    446.86,       63.44,          5.814
      5,      38.5,     29.20,    444.92,       60.75,          5.839
      5,      38.5,     29.25,    444.10,       59.04,          5.850
      5,      38.5,     28.65,    453.40,       58.00,          5.730
      5,      38.5,     29.13,    445.98,       54.69,          5.826
