Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
theta_fov: 1.416,,,,,,
image width: 640,,,,,,
calibrated pixel approx: d=14430m_px^-0.958,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
500,497,-0.6,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,497,-0.6,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,501.21,0.2423,498.24,-0.3517
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,501.32,0.2648,498.35,-0.3303
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,501.32,0.2648,498.35,-0.3303
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,501.32,0.2648,498.35,-0.3303
500,496,-0.8,504.79,0.9587,501.65,0.3304
500,496,-0.8,504.79,0.9587,501.65,0.3304
